301;78.005005,20.000225,-121.996468
307;39.195507,20.000534,102.196053
307;-79.304337,20.004492,39.300850
306;-121.000000,20.000000,-21.000000
306;-101.000000,20.000000,-41.000000
306;-101.000000,20.000000,-1.000000
306;-81.000000,20.000000,-21.000000
306;-81.000000,20.000000,-1.000000
306;-61.000000,20.000000,-1.000000
306;-41.000000,20.000000,-121.000000
306;-41.000000,20.000000,-101.000000
306;-41.000000,20.000000,-61.000000
306;-41.000000,20.000000,-41.000000
306;-41.000000,20.000000,-1.000000
306;-41.000000,20.000000,19.000000
306;-41.000000,20.000000,59.000000
306;-41.000000,20.000000,99.000000
306;-41.000000,20.000000,119.000000
306;-21.000000,20.000000,-81.000000
306;-21.000000,20.000000,-41.000000
306;-21.000000,20.000000,-1.000000
306;-21.000000,20.000000,39.000000
306;-1.000000,20.000000,-81.000000
306;-1.000000,20.000000,-61.000000
306;-1.000000,20.000000,-41.000000
306;-1.000000,20.000000,-21.000000
306;-1.000000,20.000000,-1.000000
306;-1.000000,20.000000,19.000000
306;-1.000000,20.000000,39.000000
306;-1.000000,20.000000,59.000000
306;19.000000,20.000000,-121.000000
306;19.000000,20.000000,-81.000000
306;19.000000,20.000000,-41.000000
306;19.000000,20.000000,-1.000000
306;19.000000,20.000000,39.000000
306;39.000000,20.000000,-121.000000
306;39.000000,20.000000,-101.000000
306;39.000000,20.000000,-81.000000
306;39.000000,20.000000,-61.000000
306;39.000000,20.000000,-41.000000
306;39.000000,20.000000,-21.000000
306;39.000000,20.000000,19.000000
306;39.000000,20.000000,39.000000
306;39.000000,20.000000,59.000000
306;59.000000,20.000000,-121.000000
306;59.000000,20.000000,-81.000000
306;59.000000,20.000000,39.000000
306;79.000000,20.000000,-101.000000
306;79.000000,20.000000,-81.000000
306;79.000000,20.000000,-41.000000
306;79.000000,20.000000,-21.000000
306;79.000000,20.000000,-1.000000
306;79.000000,20.000000,19.000000
306;79.000000,20.000000,39.000000
306;79.000000,20.000000,79.000000
306;79.000000,20.000000,99.000000
306;99.000000,20.000000,-81.000000
306;99.000000,20.000000,-1.000000
306;99.000000,20.000000,39.000000
306;99.000000,20.000000,79.000000
306;119.000000,20.000000,-61.000000
306;119.000000,20.000000,-41.000000
306;119.000000,20.000000,-21.000000
309;-81.000000,20.000000,-41.000000
308;80.193344,20.000486,119.595024
309;-81.000000,20.000000,19.000000
